Loading data...
Data ready: 1281 events, 19 cities with ensemble

======================================================================
C1f Autoresearch — 150 trials
  Gen 1 (random): trials 1-50
  Gen 2 (perturb best): trials 51-100
  Gen 3 (fine-tune top 3): trials 101-150
======================================================================
  [G3] 109/150 score= 153.0 trades=196 WR=36.7% PnL=$   51,473 DD=20.1%
  [G3] 110/150 score= 145.3 trades=167 WR=40.1% PnL=$   31,205 DD=17.7%
  [G3] 111/150 score= 145.7 trades=173 WR=37.6% PnL=$   33,838 DD=19.2%
  [G3] 112/150 score= 153.0 trades=196 WR=36.7% PnL=$   50,719 DD=19.9% ★
  [G3] 113/150 score= 148.8 trades=187 WR=36.4% PnL=$   40,815 DD=19.5%
  [G3] 114/150 score= 145.7 trades=173 WR=37.6% PnL=$   33,838 DD=19.2%
  [G3] 115/150 score= 134.0 trades=224 WR=31.7% PnL=$   26,166 DD=23.3%
  [G3] 116/150 score= 149.1 trades=191 WR=36.1% PnL=$   40,454 DD=19.4%
  [G3] 117/150 score= 149.3 trades=231 WR=35.5% PnL=$   54,073 DD=27.2%
  [G3] 118/150 score= 150.2 trades=163 WR=38.7% PnL=$   38,531 DD=18.8%
  [G3] 119/150 score= 147.6 trades=194 WR=37.6% PnL=$   41,657 DD=21.7%
  [G3] 120/150 score= 150.9 trades=210 WR=36.2% PnL=$   55,982 DD=23.4%
  [G3] 121/150 score= 146.8 trades=173 WR=37.6% PnL=$   35,396 DD=19.3%
  [G3] 122/150 score= 137.4 trades=187 WR=33.7% PnL=$   25,684 DD=27.8%
  [G3] 123/150 score= 144.3 trades=167 WR=40.1% PnL=$   29,793 DD=17.2%
  [G3] 124/150 score= 147.7 trades=237 WR=31.2% PnL=$   53,048 DD=22.7%
  [G3] 125/150 score= 143.8 trades=161 WR=37.9% PnL=$   31,366 DD=20.8%
  [G3] 126/150 score= 142.2 trades=196 WR=36.7% PnL=$   28,351 DD=16.9%
  [G3] 127/150 score= 144.9 trades=257 WR=32.3% PnL=$   49,185 DD=22.6%
  [G3] 128/150 score= 149.5 trades=182 WR=36.3% PnL=$   51,365 DD=21.6%
  [G3] 129/150 score= 153.0 trades=196 WR=36.7% PnL=$   49,416 DD=20.0%
  [G3] 130/150 score= 149.6 trades=249 WR=34.1% PnL=$   61,449 DD=25.1%
  [G3] 131/150 score= 140.5 trades=196 WR=36.7% PnL=$   25,382 DD=16.7%
  [G3] 132/150 score= 145.3 trades=188 WR=37.8% PnL=$   36,938 DD=21.6%
  [G3] 133/150 score= 152.2 trades=225 WR=34.2% PnL=$   54,190 DD=21.7%
  [G3] 134/150 score= 142.1 trades=188 WR=35.6% PnL=$   30,956 DD=19.0%
  [G3] 135/150 score= 151.3 trades=225 WR=34.2% PnL=$   52,471 DD=21.8%
  [G3] 136/150 score= 142.0 trades=214 WR=33.2% PnL=$   34,601 DD=25.2%
