event_slug,direction,entry_minute,btc_abs_move,sigma,edge,market_fv_up,would_fill_at,market_gap,book_spread,book_bid_depth_usd,book_ask_depth_usd,resolution,would_pnl_per_share,event_start_ts
btc-updown-15m-1775935800,up,5,36.83,0.0003520938503591128,0.3034,0.6733,0.69,0.0167,0.01,379,16670,win,0.39,1775935800
btc-updown-15m-1775935800,up,6,64.03,0.00035192089720415676,0.4412,0.7948,0.74,0.0548,0.01,350,15696,win,0.39,1775935800
btc-updown-15m-1775935800,up,7,18.98,0.00035174748978096765,0.1888,0.6022,0.67,0.0678,0.01,336,17680,win,0.39,1775935800
btc-updown-15m-1775935800,down,9,16.59,0.00035195010769508757,0.1903,0.3969,0.43,0.1731,0.01,374,14251,win,0.39,1775935800
btc-updown-15m-1775935800,up,10,17.73,0.0003520693830087204,0.2195,0.6201,0.71,0.0899,0.02,300,12206,win,0.39,1775935800
btc-updown-15m-1775935800,up,11,10.93,0.0003520693830087204,0.1557,0.5835,0.71,0.1265,0.01,297,11261,win,0.39,1775935800
btc-updown-15m-1775977200,down,4,28.81,0.0005328980694523778,0.1674,0.41,0.8,0.21,0.01,375,14452,win,0.2,1775977200
btc-updown-15m-1775977200,down,5,29.02,0.0005326322378426603,0.1763,0.4049,0.8,0.2049,0.01,360,13420,win,0.2,1775977200
btc-updown-15m-1775977200,down,6,32.96,0.000532368101806623,0.2081,0.3866,0.82,0.2066,0.01,288,11592,win,0.2,1775977200
btc-updown-15m-1775977200,down,7,36.95,0.0005321044103742172,0.2427,0.3659,0.87,0.2359,0.01,272,11206,win,0.2,1775977200
btc-updown-15m-1775977200,down,8,25.29,0.0005318694236300829,0.1834,0.4009,0.89,0.2909,0.01,257,6715,win,0.2,1775977200
btc-updown-15m-1775977200,down,9,28.52,0.0005316058246631496,0.2195,0.3799,0.89,0.2699,0.01,236,5244,win,0.2,1775977200
btc-updown-15m-1775977200,down,10,2.73,0.0005314735753846141,0.0243,0.4872,0.78,0.2672,0.02,274,6165,win,0.2,1775977200
btc-updown-15m-1775977200,up,11,10.16,0.0005314735753846141,0.1001,0.5531,0.24,0.3131,0.01,182,9795,win,0.2,1775977200
btc-updown-15m-1775979000,up,5,8.7,0.0005329585866493492,0.0545,0.5287,0.64,0.1113,0.01,275,11755,win,0.36,1775979000
btc-updown-15m-1775979000,up,6,68.99,0.0005333791347221427,0.3736,0.7263,0.89,0.1637,0.01,265,7570,win,0.36,1775979000
btc-updown-15m-1775979000,up,7,71.32,0.0005331146869523242,0.3952,0.7454,0.91,0.1646,0.01,240,6991,win,0.36,1775979000
btc-updown-15m-1775979000,up,9,85.61,0.0005336108989753575,0.4588,0.8196,0.94,0.1204,0.01,219,4933,win,0.36,1775979000
btc-updown-15m-1775979000,up,10,82.99,0.0005333666447149178,0.4675,0.8342,0.96,0.1258,0.01,208,2704,win,0.36,1775979000
btc-updown-15m-1775979000,up,11,80.16,0.0005331563507248168,0.4769,0.8529,0.98,0.1271,0.01,206,583,win,0.36,1775979000
