================================================================================================================================================================
STRATEGY C OPTIMIZATION v6 — 20 CITIES + METAR CALIBRATION
================================================================================================================================================================

--- Phase 1: Baseline ---
  [  1] baseline_20cities                                                 | comp=   70.7769 | trades=3590 | sharpe=  11.99 | win= 69.2% | pnl= 177.4% | dd= 0.75% | 1s
  [ 68] mfp=0.6 maxp=0.4 s=1.15                                           | comp=   57.3827 | trades=1477 | sharpe=  15.07 | win= 75.8% | pnl=  60.8% | dd= 0.45% | 34s
  [ 69] mfp=0.6 maxp=0.4 s=1.2                                            | comp=   56.3982 | trades=1402 | sharpe=  15.20 | win= 75.9% | pnl=  58.0% | dd= 0.45% | 34s
  [ 70] mfp=0.6 maxp=0.43 s=1.05                                          | comp=   65.0028 | trades=2292 | sharpe=  13.77 | win= 74.4% | pnl=  98.0% | dd= 0.69% | 35s
  [ 71] mfp=0.6 maxp=0.43 s=1.1                                           | comp=   61.9995 | trades=1973 | sharpe=  14.08 | win= 75.0% | pnl=  80.8% | dd= 0.45% | 35s
  [ 72] mfp=0.6 maxp=0.43 s=1.15                                          | comp=   60.6679 | trades=1682 | sharpe=  14.93 | win= 76.4% | pnl=  67.7% | dd= 0.46% | 36s
  [ 73] mfp=0.6 maxp=0.43 s=1.2                                           | comp=   59.6016 | trades=1593 | sharpe=  15.07 | win= 76.5% | pnl=  64.5% | dd= 0.45% | 36s
  [ 74] mfp=0.6 maxp=0.46 s=1.05                                          | comp=   67.1996 | trades=2427 | sharpe=  13.80 | win= 75.0% | pnl= 103.4% | dd= 0.56% | 37s
  [ 75] mfp=0.6 maxp=0.46 s=1.1                                           | comp=   64.1613 | trades=2094 | sharpe=  14.15 | win= 75.7% | pnl=  85.3% | dd= 0.45% | 37s
  [ 76] mfp=0.6 maxp=0.46 s=1.15                                          | comp=   62.7582 | trades=1781 | sharpe=  15.01 | win= 77.1% | pnl=  71.3% | dd= 0.45% | 38s
  [ 77] mfp=0.6 maxp=0.46 s=1.2                                           | comp=   61.7422 | trades=1686 | sharpe=  15.17 | win= 77.3% | pnl=  67.9% | dd= 0.45% | 38s
  [ 78] mfp=0.6 maxp=0.5 s=1.05                                           | comp=   67.6308 | trades=2500 | sharpe=  13.68 | win= 75.1% | pnl= 105.4% | dd= 0.56% | 39s
  [ 79] mfp=0.6 maxp=0.5 s=1.1                                            | comp=   64.8092 | trades=2162 | sharpe=  14.06 | win= 75.9% | pnl=  87.3% | dd= 0.45% | 39s
  [ 80] mfp=0.6 maxp=0.5 s=1.15                                           | comp=   63.4550 | trades=1843 | sharpe=  14.92 | win= 77.3% | pnl=  73.0% | dd= 0.45% | 40s
